total_rt,refs,celcious,return pipe,date
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.8,7.0,2021-06-01 06:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.6,7.0,2021-06-01 06:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.7,7.0,2021-06-01 06:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.8,7.0,2021-06-01 07:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.7,7.0,2021-06-01 07:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.7,7.0,2021-06-01 07:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.4,7.0,2021-06-01 07:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.5,7.0,2021-06-01 08:00:00
299.16,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.5,12.0,2021-06-01 08:15:00
628.16,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.5,12.0,2021-06-01 08:30:00
628.16,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.2,12.0,2021-06-01 08:45:00
688.95,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.1,12.299615384615386,2021-06-01 09:00:00
688.95,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.8,12.560769230769232,2021-06-01 09:15:00
627.9,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,12.522307692307693,2021-06-01 09:30:00
627.9,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.8,12.0,2021-06-01 09:45:00
494.29,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.1,12.0,2021-06-01 10:00:00
494.29,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,12.0,2021-06-01 10:15:00
160.2,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,10.204,2021-06-01 10:30:00
160.2,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,10.204,2021-06-01 10:45:00
367.17,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.0,12.0,2021-06-01 11:00:00
367.17,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.3,12.0,2021-06-01 11:15:00
335.89,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,12.0,2021-06-01 11:30:00
335.89,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.7,12.0,2021-06-01 11:45:00
323.39,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,12.0,2021-06-01 12:00:00
323.39,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,12.0,2021-06-01 12:15:00
340.23,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.0,12.0,2021-06-01 12:30:00
340.23,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,12.0,2021-06-01 12:45:00
342.29,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.8,12.0,2021-06-01 13:00:00
352.66,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.7,12.0,2021-06-01 13:15:00
369.28,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,12.0,2021-06-01 13:30:00
369.28,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.4,12.0,2021-06-01 13:45:00
198.02,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.6,10.9604,2021-06-01 14:00:00
198.02,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,10.9604,2021-06-01 14:15:00
407.87,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,12.0,2021-06-01 14:30:00
407.87,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.5,12.0,2021-06-01 14:45:00
402.99,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.6,12.0,2021-06-01 15:00:00
402.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.6,12.0,2021-06-01 15:15:00
402.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.9,12.0,2021-06-01 15:30:00
402.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,12.0,2021-06-01 15:45:00
382.4,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,12.0,2021-06-01 16:00:00
377.88,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,12.0,2021-06-01 16:15:00
362.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.7,12.0,2021-06-01 16:30:00
362.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,12.0,2021-06-01 16:45:00
362.65,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,12.0,2021-06-01 17:00:00
341.53,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,12.0,2021-06-01 17:15:00
316.96,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,12.0,2021-06-01 17:30:00
316.96,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.8,12.0,2021-06-01 17:45:00
324.31,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.2,12.0,2021-06-01 18:00:00
314.13,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.1,12.0,2021-06-01 18:15:00
263.89,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.0,12.0,2021-06-01 18:30:00
263.89,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.1,12.0,2021-06-01 18:45:00
173.89,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.1,10.4778,2021-06-01 19:00:00
184.78,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.9,10.6956,2021-06-01 19:15:00
183.74,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.2,10.674800000000001,2021-06-01 19:30:00
183.74,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,10.674800000000001,2021-06-01 19:45:00
183.74,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.9,10.674800000000001,2021-06-01 20:00:00
195.88,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.1,10.9176,2021-06-01 20:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.1,7.0,2021-06-01 20:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,7.0,2021-06-01 20:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.4,7.0,2021-06-01 21:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,7.0,2021-06-01 21:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,7.0,2021-06-01 21:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,7.0,2021-06-01 21:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,7.0,2021-06-01 22:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.2,7.0,2021-06-01 22:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.1,7.0,2021-06-01 22:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.1,7.0,2021-06-01 22:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.1,7.0,2021-06-01 23:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.0,7.0,2021-06-01 23:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.0,7.0,2021-06-01 23:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,7.0,2021-06-01 23:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,7.0,2021-06-02 00:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,7.0,2021-06-02 00:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.4,7.0,2021-06-02 00:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.5,7.0,2021-06-02 00:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.4,7.0,2021-06-02 01:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.4,7.0,2021-06-02 01:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.5,7.0,2021-06-02 01:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,7.0,2021-06-02 01:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,7.0,2021-06-02 02:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,7.0,2021-06-02 02:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,7.0,2021-06-02 02:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,7.0,2021-06-02 02:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.6,7.0,2021-06-02 03:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.4,7.0,2021-06-02 03:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.3,7.0,2021-06-02 03:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.3,7.0,2021-06-02 03:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.3,7.0,2021-06-02 04:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.3,7.0,2021-06-02 04:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.1,7.0,2021-06-02 04:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.0,7.0,2021-06-02 04:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.9,7.0,2021-06-02 05:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.8,7.0,2021-06-02 05:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.8,7.0,2021-06-02 05:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.8,7.0,2021-06-02 05:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",17.9,7.0,2021-06-02 06:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.2,7.0,2021-06-02 06:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.2,7.0,2021-06-02 06:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18.9,7.0,2021-06-02 06:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.5,7.0,2021-06-02 07:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.2,7.0,2021-06-02 07:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.7,7.0,2021-06-02 07:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",21.0,7.0,2021-06-02 07:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.3,7.0,2021-06-02 08:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.4,7.0,2021-06-02 08:15:00
523.28,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",20.9,12.0,2021-06-02 08:30:00
634.86,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",22.1,12.0,2021-06-02 08:45:00
634.86,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",22.2,12.0,2021-06-02 09:00:00
594.94,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",22.4,12.0,2021-06-02 09:15:00
545.83,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",23.1,12.0,2021-06-02 09:30:00
555.12,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",23.4,12.0,2021-06-02 09:45:00
555.12,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",23.6,12.0,2021-06-02 10:00:00
555.12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24.1,12.0,2021-06-02 10:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24.6,12.0,2021-06-02 10:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24.7,12.0,2021-06-02 10:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",25.1,12.0,2021-06-02 11:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",25.7,12.0,2021-06-02 11:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",25.9,12.0,2021-06-02 11:30:00
713.65,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26.2,17.489615384615384,2021-06-02 11:45:00
713.65,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26.0,17.94076923076923,2021-06-02 12:00:00
713.65,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26.3,18.391923076923078,2021-06-02 12:15:00
737.78,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.4,19.02869230769231,2021-06-02 12:30:00
750.29,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.4,19.76169230769231,2021-06-02 12:45:00
750.29,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.7,20.49469230769231,2021-06-02 13:00:00
750.29,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.3,21.227692307692312,2021-06-02 13:15:00
732.77,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.3,21.825923076923083,2021-06-02 13:30:00
723.63,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.7,22.353846153846156,2021-06-02 13:45:00
259.98,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.4,22.315384615384616,2021-06-02 14:00:00
259.98,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",27.0,12.0,2021-06-02 14:15:00
607.2,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26.8,12.0,2021-06-02 14:30:00
582.6,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26.5,12.0,2021-06-02 14:45:00
618.95,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26.2,12.0,2021-06-02 15:00:00
618.95,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",26.0,12.0,2021-06-02 15:15:00
610.71,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.8,12.0,2021-06-02 15:30:00
610.71,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.7,12.0,2021-06-02 15:45:00
560.57,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.7,12.0,2021-06-02 16:00:00
560.57,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.5,12.0,2021-06-02 16:15:00
590.09,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.3,12.0,2021-06-02 16:30:00
590.09,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.3,12.0,2021-06-02 16:45:00
565.65,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.3,12.0,2021-06-02 17:00:00
565.65,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",25.0,12.0,2021-06-02 17:15:00
587.95,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",24.5,12.0,2021-06-02 17:30:00
587.95,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",24.5,12.0,2021-06-02 17:45:00
597.82,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",23.5,12.0,2021-06-02 18:00:00
597.82,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",22.9,12.0,2021-06-02 18:15:00
520.56,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",22.3,12.0,2021-06-02 18:30:00
520.56,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",21.7,12.0,2021-06-02 18:45:00
452.63,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",21.5,12.0,2021-06-02 19:00:00
143.55,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",21.0,9.871,2021-06-02 19:15:00
143.55,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",20.7,9.871,2021-06-02 19:30:00
175.08,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",20.4,10.5016,2021-06-02 19:45:00
170.78,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",20.5,10.4156,2021-06-02 20:00:00
170.78,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",20.6,10.4156,2021-06-02 20:15:00
481.65,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",20.6,12.0,2021-06-02 20:30:00
481.65,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",20.7,12.0,2021-06-02 20:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.7,7.0,2021-06-02 21:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,7.0,2021-06-02 21:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,7.0,2021-06-02 21:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,7.0,2021-06-02 21:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.4,7.0,2021-06-02 22:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.4,7.0,2021-06-02 22:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,7.0,2021-06-02 22:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,7.0,2021-06-02 22:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,7.0,2021-06-02 23:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.6,7.0,2021-06-02 23:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.7,7.0,2021-06-02 23:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.5,7.0,2021-06-02 23:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.2,7.0,2021-06-03 00:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.6,7.0,2021-06-03 00:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.4,7.0,2021-06-03 00:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.4,7.0,2021-06-03 00:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.3,7.0,2021-06-03 01:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.4,7.0,2021-06-03 01:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.5,7.0,2021-06-03 01:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.7,7.0,2021-06-03 01:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,7.0,2021-06-03 02:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,7.0,2021-06-03 02:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,7.0,2021-06-03 02:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,7.0,2021-06-03 02:45:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.9,7.0,2021-06-03 03:00:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.7,7.0,2021-06-03 03:15:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.8,7.0,2021-06-03 03:30:00
0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.9,7.0,2021-06-03 03:45:00
